feature,importance
elevation,0.23841536949904044
unwrapped_phase,0.1733992365887131
incidence_angle,0.14531471645229704
wrapped_phase,0.13221167570118034
vegetation_ht,0.12979361191782282
amplitude,0.1063052448583584
coherence,0.07456014498258791
